iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,inner,10,10,0.5,50,5000,39.48644497518416,17768.900238832874,4500,0.7321760091769051,0.7765831119913207,0.7537260464635677,0,0,0,0,50
1,inner,10,10,0.5,50,5000,41.513478955257675,18681.065529865955,4500,0.7344355064064624,0.7951465733599937,0.7635861899770371,0,0,0,0,50
2,inner,10,10,0.5,50,5000,42.66506295239508,19199.278328577788,4500,0.7285425950568499,0.7775566306851986,0.7522520639288577,0,0,0,0,50
0,inner,10,10,0.5,100,10000,73.71987681653918,66347.88913488526,9000,0.7359390711112032,0.7963944224147939,0.7649741703699738,0,0,0,0,100
1,inner,10,10,0.5,100,10000,73.44347487926976,66099.12739134279,9000,0.7474330761859465,0.8112939060237931,0.7780553064021848,0,0,0,0,100
2,inner,10,10,0.5,100,10000,70.95115738194467,63856.0416437502,9000,0.7345892509708658,0.7810453315138772,0.7571053229868436,0,0,0,0,100
0,inner,10,10,0.5,200,20000,143.86482578395135,258956.6864111124,18000,0.7331677277872299,0.7986173261257961,0.7644942727067614,0,0,0,0,200
1,inner,10,10,0.5,200,20000,145.3914529217337,261704.61525912065,18000,0.7270861820599214,0.7891994055287576,0.7568705886895527,0,0,0,0,200
2,inner,10,10,0.5,200,20000,145.25392452293104,261457.06414127589,18000,0.7305121107710474,0.7923308834549294,0.7601667516564208,0,0,0,0,200
0,inner,10,10,0.5,300,30000,211.71557634201648,571632.0561234445,27000,0.728711534828463,0.7932776769882772,0.7596250867682097,0,0,0,0,300
1,inner,10,10,0.5,300,30000,204.60929159781477,552445.0873140999,27000,0.7373943386437664,0.7999848501592569,0.767415487089437,0,0,0,0,300
2,inner,10,10,0.5,300,30000,203.34345145389835,549027.3189255255,27000,0.7386519722260334,0.7983170138450236,0.7673263964103987,0,0,0,0,300
0,inner,10,10,0.5,500,50000,329.2859412809465,1481786.735764259,45000,0.7264241231606401,0.7778341847758558,0.7512506497840477,0,0,0,0,500
1,inner,10,10,0.5,500,50000,348.5293362074333,1568382.0129334498,45000,0.7223198589145724,0.7842561149569207,0.752014868328032,0,0,0,0,500
2,inner,10,10,0.5,500,50000,341.48876127048965,1536699.4257172034,45000,0.7298308469494535,0.794518633424142,0.7608021842956221,0,0,0,0,500
0,inner,10,10,0.5,700,70000,475.81162941216127,2997613.265296616,63000,0.7245201223858654,0.7805181565236705,0.7514773786333852,0,0,0,0,700
1,inner,10,10,0.5,700,70000,475.699469082925,2996906.6552224276,63000,0.7321294440196247,0.7990585191598172,0.764131228091509,0,0,0,0,700
2,inner,10,10,0.5,700,70000,486.1334525952167,3062640.751349865,63000,0.7243076655190255,0.7892824154172351,0.755400436282523,0,0,0,0,700
0,inner,10,10,0.5,1000,100000,698.6145402532741,6287530.862279466,90000,0.7203214516413353,0.784541085962391,0.7510609903447699,0,0,0,0,1000
1,inner,10,10,0.5,1000,100000,681.6777083030275,6135099.374727248,90000,0.7264328178986379,0.7917461973996085,0.7576845884996513,0,0,0,0,1000
2,inner,10,10,0.5,1000,100000,678.2900746612635,6104610.671951371,90000,0.7244800859567427,0.7873531703353733,0.7546092667942588,0,0,0,0,1000
