iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,inner,10,10,0.5,50,5000,34.954674783777065,15729.60365269968,4500,0.7372290545671148,0.7563471845864158,0.7466657612779877,0,0,0,0,50
1,inner,10,10,0.5,50,5000,40.7871872686361,18354.234270886245,4500,0.728845731469256,0.7733401929881397,0.750434003482772,0,0,0,0,50
2,inner,10,10,0.5,50,5000,41.85249598764927,18833.62319444217,4500,0.735543548184029,0.7807558851083184,0.7574756560466399,0,0,0,0,50
3,inner,10,10,0.5,50,5000,39.66807393587369,17850.63327114316,4500,0.7362786155971471,0.784695118440593,0.7597162561611249,0,0,0,0,50
4,inner,10,10,0.5,50,5000,42.610324653298264,19174.646093984218,4500,0.7397001303220821,0.7990356486740359,0.7682238647128578,0,0,0,0,50
0,inner,10,10,0.5,100,10000,70.42620738066559,63383.586642599024,9000,0.7621286921817978,0.8248695988314578,0.7922589358008227,0,0,0,0,100
1,inner,10,10,0.5,100,10000,77.72493119724841,69952.43807752356,9000,0.734759344675582,0.7999778936006705,0.76598289035739,0,0,0,0,100
2,inner,10,10,0.5,100,10000,75.14909270514337,67634.18343462904,9000,0.7386424870212827,0.7990794496391729,0.7676732937697643,0,0,0,0,100
3,inner,10,10,0.5,100,10000,74.65962703488724,67193.66433139851,9000,0.7401520758099954,0.8041634905383711,0.770831156251288,0,0,0,0,100
4,inner,10,10,0.5,100,10000,77.31644949717634,69584.8045474587,9000,0.7406386153092152,0.8070726076261627,0.7724298043565931,0,0,0,0,100
0,inner,10,10,0.5,200,20000,149.16712080375606,268500.8174467609,18000,0.7263447719622803,0.7921727829108915,0.75783194933982,0,0,0,0,200
1,inner,10,10,0.5,200,20000,147.2747890808023,265094.6203454441,18000,0.7246954856566542,0.7886092413077493,0.7553026788850942,0,0,0,0,200
2,inner,10,10,0.5,200,20000,143.02305287091477,257441.4951676466,18000,0.7266160799187231,0.7928514680353413,0.7582901345110672,0,0,0,0,200
3,inner,10,10,0.5,200,20000,144.31262834321413,259762.7310177854,18000,0.7281401068828699,0.7914980434735734,0.7584982909743998,0,0,0,0,200
4,inner,10,10,0.5,200,20000,144.92324243477748,260861.83638259946,18000,0.7282694187345133,0.7889773517443411,0.7574088652279057,0,0,0,0,200
0,inner,10,10,0.5,300,30000,215.31758316503075,581357.474545583,27000,0.7264785503964742,0.7962676088419884,0.7597738266350218,0,0,0,0,300
1,inner,10,10,0.5,300,30000,201.40438355437738,543791.835596819,27000,0.7402548041910938,0.8005477116631848,0.7692216016590475,0,0,0,0,300
2,inner,10,10,0.5,300,30000,208.91534682322808,564071.4364227158,27000,0.7320311174394053,0.7972117994090582,0.7632323654112053,0,0,0,0,300
3,inner,10,10,0.5,300,30000,208.9683009002735,564214.4124307384,27000,0.7285157345855111,0.7942370731239137,0.7599581518845268,0,0,0,0,300
4,inner,10,10,0.5,300,30000,210.40891006217865,568104.0571678823,27000,0.7365145335563058,0.8040047420776473,0.7687812635056978,0,0,0,0,300
0,inner,10,10,0.5,500,50000,336.9098952147626,1516094.528466432,45000,0.7261989036476456,0.7838657081626603,0.7539312072114401,0,0,0,0,500
1,inner,10,10,0.5,500,50000,336.64010274944263,1514880.4623724918,45000,0.7252275577967419,0.7868634566258602,0.7547893050421731,0,0,0,0,500
2,inner,10,10,0.5,500,50000,348.2460689941454,1567107.3104736542,45000,0.7222878450831134,0.7880628342940238,0.7537431063454224,0,0,0,0,500
3,inner,10,10,0.5,500,50000,332.975482168484,1498389.669758178,45000,0.7323412411381758,0.7928306641991906,0.7613864254909763,0,0,0,0,500
4,inner,10,10,0.5,500,50000,345.8054034262553,1556124.3154181486,45000,0.7263157617736556,0.7932538682705085,0.7583104797850538,0,0,0,0,500
0,inner,10,10,0.5,700,70000,454.0538578318298,2860539.304340528,63000,0.7306790088207538,0.7837579549065392,0.7562883095999414,0,0,0,0,700
1,inner,10,10,0.5,700,70000,481.45004747156247,3033135.2990708435,63000,0.7278501916472755,0.7928578605200343,0.7589645427419157,0,0,0,0,700
2,inner,10,10,0.5,700,70000,482.266832922111,3038281.0474092993,63000,0.7310241930179195,0.7991645534220859,0.7635772045939715,0,0,0,0,700
3,inner,10,10,0.5,700,70000,479.47663022130905,3020702.770394247,63000,0.7339386172659988,0.7970486570786134,0.7641928826879637,0,0,0,0,700
4,inner,10,10,0.5,700,70000,484.12630187366847,3049995.7018041112,63000,0.7285349217298159,0.7951644059613363,0.7603928514389955,0,0,0,0,700
0,inner,10,10,0.5,1000,100000,690.6473188986703,6215825.870088032,90000,0.7239533011406855,0.7861863724842936,0.7537875199392556,0,0,0,0,1000
1,inner,10,10,0.5,1000,100000,670.9521232860221,6038569.109574199,90000,0.7245881414916516,0.7874686420611767,0.7547209152997095,0,0,0,0,1000
2,inner,10,10,0.5,1000,100000,663.1734109641664,5968560.698677497,90000,0.7233387870147763,0.7892733962362319,0.7548690502141879,0,0,0,0,1000
3,inner,10,10,0.5,1000,100000,680.634417740176,6125709.759661584,90000,0.7220317509018133,0.7885084983043694,0.7538073506228729,0,0,0,0,1000
4,inner,10,10,0.5,1000,100000,661.4718904594923,5953247.014135431,90000,0.7269927392608346,0.7886745719695907,0.7565785488849559,0,0,0,0,1000
