iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,heuristic1,10,10,0.5,50,5000,60.73520061574645,27330.840277085903,5000,0.39903962847761526,0.5790834267323804,0.47249113335994897,0,0,0,0,50
1,heuristic1,10,10,0.5,50,5000,63.11605027608673,28402.222624239028,5000,0.4710137100590812,0.622436262936544,0.5362403781086826,0,0,0,0,50
2,heuristic1,10,10,0.5,50,5000,60.44120266978147,27198.541201401662,5000,0.40362419179873904,0.5674284354033641,0.47171046599854105,0,0,0,0,50
3,heuristic1,10,10,0.5,50,5000,63.43165233373674,28544.243550181534,5000,0.397541453826514,0.5942477394968747,0.4763877482897274,0,0,0,0,50
0,heuristic1,10,10,0.5,100,10000,124.11260068798106,111701.34061918296,10000,0.4324771212416315,0.6184281108072374,0.5090011942092559,0,0,0,0,100
1,heuristic1,10,10,0.5,100,10000,129.37386432777632,116436.47789499868,10000,0.42532305711919605,0.63064757481334,0.5080235119674301,0,0,0,0,100
2,heuristic1,10,10,0.5,100,10000,124.04193769325471,111637.74392392924,10000,0.40043643730010264,0.5949972057094565,0.4787030515413734,0,0,0,0,100
3,heuristic1,10,10,0.5,100,10000,127.48270054758443,114734.43049282598,10000,0.45252769164273865,0.6449042749604769,0.5318544597925211,0,0,0,0,100
0,heuristic1,10,10,0.5,200,20000,239.7608471342856,431569.52484171407,20000,0.4570164153546797,0.6283873816508021,0.5291732890717208,0,0,0,0,200
1,heuristic1,10,10,0.5,200,20000,232.5471157661684,418584.8083791031,20000,0.4139515365994431,0.6065561146582429,0.492078301200638,0,0,0,0,200
2,heuristic1,10,10,0.5,200,20000,229.9792867889586,413962.7162201255,20000,0.41387884927265456,0.5997718598677731,0.4897799309955486,0,0,0,0,200
3,heuristic1,10,10,0.5,200,20000,231.27996706042597,416303.94070876675,20000,0.4389878102115381,0.613572347666445,0.5118012102063042,0,0,0,0,200
0,heuristic1,10,10,0.5,300,30000,345.0998986672197,931769.7264014932,30000,0.41789204394760116,0.6078116679394073,0.4952690670936758,0,0,0,0,300
1,heuristic1,10,10,0.5,300,30000,346.2860759950111,934972.4051865301,30000,0.42815702677707956,0.6114444447872341,0.5036434493028106,0,0,0,0,300
2,heuristic1,10,10,0.5,300,30000,350.98754484241783,947666.3710745282,30000,0.41595508842771994,0.6054901766647253,0.49313796555490896,0,0,0,0,300
3,heuristic1,10,10,0.5,300,30000,346.4019807296821,935285.3479701417,30000,0.42246844613330886,0.6124468710538686,0.5000205787978275,0,0,0,0,300
0,heuristic1,10,10,0.5,400,40000,471.9767750088713,1699116.3900319366,40000,0.44810460348949377,0.6316725892779127,0.5242848192192434,0,0,0,0,400
1,heuristic1,10,10,0.5,400,40000,469.4379546994417,1689976.6369179902,40000,0.43040739690836466,0.6225593298648292,0.5089508220440733,0,0,0,0,400
2,heuristic1,10,10,0.5,400,40000,475.41554347769136,1711495.956519689,40000,0.4180811529598165,0.6217338630581967,0.49996433268863005,0,0,0,0,400
3,heuristic1,10,10,0.5,400,40000,473.5660491291102,1704837.7768647966,40000,0.4180724519397079,0.6184570398607316,0.4988953100115547,0,0,0,0,400
0,heuristic1,10,10,0.5,500,50000,583.7745083748875,2626985.287686994,50000,0.4216072426432988,0.6141735028475265,0.49998997986280974,0,0,0,0,500
1,heuristic1,10,10,0.5,500,50000,572.9957492427927,2578480.8715925673,50000,0.42115821274014364,0.6092193543841637,0.49802663149048243,0,0,0,0,500
2,heuristic1,10,10,0.5,500,50000,588.3396783583736,2647528.5526126814,50000,0.43250302428909754,0.6221556231328444,0.5102773096132773,0,0,0,0,500
3,heuristic1,10,10,0.5,500,50000,575.1801223285358,2588310.5504784114,50000,0.423196463014341,0.609808519275711,0.49964678369969706,0,0,0,0,500
