iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,heuristic1,10,10,0.5,50,5000,68.95844984517095,31031.302430326923,5000,0.40444408894125156,0.6490241980267832,0.4983424821021378,0,0,0,0,50
1,heuristic1,10,10,0.5,50,5000,70.39988870277244,31679.9499162476,5000,0.4043930773489158,0.6299092058136663,0.4925657157219267,0,0,0,0,50
2,heuristic1,10,10,0.5,50,5000,70.50023735020093,31725.106807590422,5000,0.3709837329131513,0.6102372656410694,0.46144161020567154,0,0,0,0,50
3,heuristic1,10,10,0.5,50,5000,71.25960556874072,32066.822505933327,5000,0.3957856650470284,0.6303676307615091,0.48626354947967565,0,0,0,0,50
0,heuristic1,10,10,0.5,100,10000,136.65406558918227,122988.65903026404,10000,0.38798080809501223,0.6279174664345141,0.47961480426189046,0,0,0,0,100
1,heuristic1,10,10,0.5,100,10000,137.33065793016172,123597.59213714555,10000,0.3937906006157106,0.6287186889687958,0.4842665248507405,0,0,0,0,100
2,heuristic1,10,10,0.5,100,10000,138.84174764196555,124957.57287776901,10000,0.3970622667795197,0.6324803868358545,0.4878556419372069,0,0,0,0,100
3,heuristic1,10,10,0.5,100,10000,136.5596388484553,122903.67496360977,10000,0.4016074468629855,0.6238197653441548,0.48863665851677157,0,0,0,0,100
0,heuristic1,10,10,0.5,200,20000,280.9479186960684,505706.25365292316,20000,0.4448209298332415,0.6785751384373212,0.537378459061355,0,0,0,0,200
1,heuristic1,10,10,0.5,200,20000,265.3543523172783,477637.834171101,20000,0.4037511205262226,0.642542420808266,0.49589758922927923,0,0,0,0,200
2,heuristic1,10,10,0.5,200,20000,266.3755157336817,479475.9283206271,20000,0.41885165902620014,0.6538895698293692,0.5106221776059553,0,0,0,0,200
3,heuristic1,10,10,0.5,200,20000,263.42681757377966,474168.2716328034,20000,0.3918908680684258,0.6286510654879006,0.48280742547772393,0,0,0,0,200
0,heuristic1,10,10,0.5,300,30000,394.88302061282917,1066184.1556546388,30000,0.3811461972122046,0.6165956538017204,0.4710899686632846,0,0,0,0,300
1,heuristic1,10,10,0.5,300,30000,395.27938379313156,1067254.3362414553,30000,0.4090585467820529,0.6400021745695668,0.4991100212568768,0,0,0,0,300
2,heuristic1,10,10,0.5,300,30000,393.6532304379268,1062863.7221824024,30000,0.4173603488696983,0.6485924471380056,0.507896355308801,0,0,0,0,300
3,heuristic1,10,10,0.5,300,30000,395.9093944337389,1068955.364971095,30000,0.4135573500427605,0.6506135334143615,0.5056819594738361,0,0,0,0,300
0,heuristic1,10,10,0.5,400,40000,530.6651337934594,1910394.4816564538,40000,0.41536680985014984,0.6524465228830837,0.5075880259222667,0,0,0,0,400
1,heuristic1,10,10,0.5,400,40000,529.9612296654456,1907860.426795604,40000,0.40430611202760147,0.6454927098072127,0.49719363827859137,0,0,0,0,400
2,heuristic1,10,10,0.5,400,40000,531.8483746612604,1914654.1487805375,40000,0.40611111023955115,0.6455564830225969,0.4985751424163102,0,0,0,0,400
3,heuristic1,10,10,0.5,400,40000,526.9954811786223,1897183.7322430403,40000,0.3965290086358875,0.636701718991969,0.4887014965346336,0,0,0,0,400
0,heuristic1,10,10,0.5,500,50000,659.3456915656039,2967055.612045218,50000,0.4135669671470138,0.6501307087133614,0.5055432413805833,0,0,0,0,500
1,heuristic1,10,10,0.5,500,50000,651.4812243427901,2931665.5095425555,50000,0.3989640316795901,0.6364747032997272,0.4904790696198985,0,0,0,0,500
2,heuristic1,10,10,0.5,500,50000,658.259530950917,2962167.8892791267,50000,0.40486486023889984,0.6452536665881343,0.4975448558767725,0,0,0,0,500
3,heuristic1,10,10,0.5,500,50000,652.8176642974965,2937679.4893387347,50000,0.4188389519213786,0.6517446879301118,0.5099574696486877,0,0,0,0,500
