iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5475615175057394,1.0,0.7076442665597733,0,0,0,0,50
1,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5472736209117963,1.0,0.7074038017778552,0,0,0,0,50
2,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5472186001190257,1.0,0.7073578356373544,0,0,0,0,50
0,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5474145832084789,1.0,0.7075215513006797,0,0,0,0,100
1,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5442110354699148,1.0,0.7048402361718745,0,0,0,0,100
2,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5419501534473394,1.0,0.7029412101755701,0,0,0,0,100
