iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,baseline,10,10,0.5,50,5000,67.77170229718986,30497.26603373544,5000,0.3860051068377086,0.6140633980837611,0.474030741726161,0,0,0,0,50
1,baseline,10,10,0.5,50,5000,71.92149686117506,32364.673587528778,5000,0.3934472070477337,0.6363796354852397,0.48625998053785546,0,0,0,0,50
2,baseline,10,10,0.5,50,5000,70.59427812695323,31767.42515712895,5000,0.3990075176428484,0.6379995968088283,0.4909641059009171,0,0,0,0,50
3,baseline,10,10,0.5,50,5000,71.31074123655571,32089.83355645007,5000,0.3742264636353243,0.6204619196542173,0.46686635515877706,0,0,0,0,50
0,baseline,10,10,0.5,100,10000,138.60777945585656,124747.0015102709,10000,0.4246817251982187,0.6613170086683141,0.5172183712300733,0,0,0,0,100
1,baseline,10,10,0.5,100,10000,137.60327995631016,123842.95196067914,10000,0.39972392481590197,0.6330207645338247,0.49002148759292535,0,0,0,0,100
2,baseline,10,10,0.5,100,10000,139.79326399707105,125813.93759736395,10000,0.40283601144991665,0.6350218152768299,0.4929570287224997,0,0,0,0,100
3,baseline,10,10,0.5,100,10000,138.86545385356104,124978.90846820494,10000,0.39069534737598827,0.6309155094280589,0.482562910288597,0,0,0,0,100
0,baseline,10,10,0.5,200,20000,279.5419107160309,503175.4392888556,20000,0.4502928511592135,0.6851586369188655,0.5434349936636674,0,0,0,0,200
1,baseline,10,10,0.5,200,20000,270.95438012607065,487717.8842269272,20000,0.4361259967341222,0.6769992452396187,0.5305008987036203,0,0,0,0,200
2,baseline,10,10,0.5,200,20000,265.54136894528835,477974.4641015191,20000,0.39937617740389714,0.6417741445562616,0.492357922200871,0,0,0,0,200
3,baseline,10,10,0.5,200,20000,266.4966799885035,479694.0239793063,20000,0.3928256823496766,0.633940875281864,0.485072785144828,0,0,0,0,200
0,baseline,10,10,0.5,300,30000,392.2587719532184,1059098.6842736898,30000,0.3955485614736352,0.6314228099334855,0.486397948578879,0,0,0,0,300
1,baseline,10,10,0.5,300,30000,395.8864556120653,1068893.4301525762,30000,0.4237193392416198,0.6562136538637074,0.5149401260849163,0,0,0,0,300
2,baseline,10,10,0.5,300,30000,393.4073571590912,1062199.8643295462,30000,0.41470106417613856,0.642822126814303,0.5041573032855969,0,0,0,0,300
3,baseline,10,10,0.5,300,30000,394.3944272293799,1064864.9535193257,30000,0.4057041804175807,0.6392894168009882,0.4963903885788695,0,0,0,0,300
0,baseline,10,10,0.5,400,40000,538.9125406258999,1940085.1462532396,40000,0.43122731341604537,0.6687496452837799,0.5243439157571574,0,0,0,0,400
1,baseline,10,10,0.5,400,40000,528.7040932583834,1903334.7357301803,40000,0.4028865734974892,0.641951654297672,0.4950693714505601,0,0,0,0,400
2,baseline,10,10,0.5,400,40000,530.467450766978,1909682.822761121,40000,0.40792253282725005,0.6474956775083652,0.5005183237835509,0,0,0,0,400
3,baseline,10,10,0.5,400,40000,532.3777401450554,1916559.8645221996,40000,0.41708827571475177,0.6563278284914409,0.5100475784114347,0,0,0,0,400
0,baseline,10,10,0.5,500,50000,655.6457338323336,2950405.802245501,50000,0.40780727462892036,0.6467234455854821,0.5002007447051295,0,0,0,0,500
1,baseline,10,10,0.5,500,50000,647.3931088560367,2913268.9898521653,50000,0.39725627474684433,0.6354921177724929,0.48889590759165763,0,0,0,0,500
2,baseline,10,10,0.5,500,50000,649.6313434222857,2923341.0454002856,50000,0.4068860729198391,0.6418184425732563,0.4980373055862538,0,0,0,0,500
3,baseline,10,10,0.5,500,50000,657.7914478553867,2960061.51534924,50000,0.401914409178406,0.6359931365883464,0.492557948491629,0,0,0,0,500
