iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,inner,10,10,0.5,50,5000,41.172124548468716,18527.456046810923,4500,0.7346207357422824,0.7956733252909025,0.7639291539053236,0,0,0,0,50
1,inner,10,10,0.5,50,5000,42.636264410365364,19186.318984664413,4500,0.7084386110087673,0.7573509766992776,0.7320787082652365,0,0,0,0,50
2,inner,10,10,0.5,50,5000,41.61159489503136,18725.217702764112,4500,0.728342867750785,0.7788810820741253,0.7527646850630307,0,0,0,0,50
3,inner,10,10,0.5,50,5000,44.777132556414344,20149.709650386456,4500,0.7375338018282726,0.8072360003198448,0.7708123701805227,0,0,0,0,50
4,inner,10,10,0.5,50,5000,41.59025726018429,18715.61576708293,4500,0.723624997460384,0.7791619098313509,0.7503672440679376,0,0,0,0,50
5,inner,10,10,0.5,50,5000,42.09868662051053,18944.408979229738,4500,0.7341176177472122,0.793751845275017,0.7627709406314266,0,0,0,0,50
6,inner,10,10,0.5,50,5000,48.167623017547996,21675.4303578966,4500,0.698832207052346,0.7704616990554746,0.7329009497174443,0,0,0,0,50
0,inner,10,10,0.5,100,10000,72.26171016587857,65035.53914929071,9000,0.7581763952491575,0.816790016341647,0.7863925296539016,0,0,0,0,100
1,inner,10,10,0.5,100,10000,73.57911338719597,66221.20204847638,9000,0.7297771604599103,0.787625386062558,0.7575985938130403,0,0,0,0,100
2,inner,10,10,0.5,100,10000,75.32139995699225,67789.25996129302,9000,0.7357434213465959,0.7929551268297488,0.7632786970119412,0,0,0,0,100
3,inner,10,10,0.5,100,10000,74.57389447170948,67116.50502453854,9000,0.7461203694927018,0.8109976633158132,0.7772074607851185,0,0,0,0,100
4,inner,10,10,0.5,100,10000,74.60070893727863,67140.63804355076,9000,0.7395379079465776,0.8054820466373019,0.7711026720287425,0,0,0,0,100
5,inner,10,10,0.5,100,10000,74.9420929096409,67447.88361867682,9000,0.7304908863058247,0.7894851483577697,0.7588431562038309,0,0,0,0,100
6,inner,10,10,0.5,100,10000,76.32880507827056,68695.9245704435,9000,0.738435253546525,0.8017499677359803,0.7687912239711628,0,0,0,0,100
0,inner,10,10,0.5,200,20000,144.19545616362194,259551.8210945195,18000,0.731710043531754,0.7948059011281885,0.7619539940584843,0,0,0,0,200
1,inner,10,10,0.5,200,20000,143.07724932678354,257539.04878821038,18000,0.7217408864110917,0.7821022051868625,0.7507101531926916,0,0,0,0,200
2,inner,10,10,0.5,200,20000,149.76599371841772,269578.7886931519,18000,0.7122908351021051,0.7725519216816571,0.74119855579361,0,0,0,0,200
3,inner,10,10,0.5,200,20000,149.2667395074479,268680.1311134062,18000,0.7225356396997296,0.7819629126990832,0.7510755958490635,0,0,0,0,200
4,inner,10,10,0.5,200,20000,140.5864677490873,253055.64194835714,18000,0.7314841771021983,0.7901450548679156,0.7596838876486313,0,0,0,0,200
5,inner,10,10,0.5,200,20000,143.57865298074012,258441.5753653322,18000,0.7238963397560176,0.7848089428582185,0.753122995842413,0,0,0,0,200
6,inner,10,10,0.5,200,20000,143.87716415794424,258978.8954842996,18000,0.7250383307734558,0.7887314329805689,0.7555449121650049,0,0,0,0,200
0,inner,10,10,0.5,300,30000,219.39961404972144,592378.9579342479,27000,0.7172938170220523,0.7841733596307597,0.7492440874937867,0,0,0,0,300
1,inner,10,10,0.5,300,30000,207.6066854021043,560538.0505856816,27000,0.7341228945900817,0.7961048555617041,0.7638585836705755,0,0,0,0,300
2,inner,10,10,0.5,300,30000,210.26149597285436,567706.0391267068,27000,0.7283437348566353,0.7874776828350272,0.7567572669684772,0,0,0,0,300
3,inner,10,10,0.5,300,30000,214.77321130640632,579887.6705272971,27000,0.7264864130181631,0.7974114863049052,0.7602984565336927,0,0,0,0,300
4,inner,10,10,0.5,300,30000,205.09439665622375,553754.8709718041,27000,0.7425727503400579,0.8059391877908523,0.7729594645644785,0,0,0,0,300
5,inner,10,10,0.5,300,30000,216.3540469341581,584155.9267222269,27000,0.7257718221320026,0.7917647760649974,0.757333384786062,0,0,0,0,300
6,inner,10,10,0.5,300,30000,211.49941753550803,571048.4273458717,27000,0.7309187730939063,0.7950282161216417,0.7616267831183272,0,0,0,0,300
0,inner,10,10,0.5,500,50000,332.15593872955793,1494701.7242830107,45000,0.7281558509694485,0.7802734214261196,0.7533142820346777,0,0,0,0,500
1,inner,10,10,0.5,500,50000,343.9594272516752,1547817.4226325385,45000,0.7263739689612848,0.7905505739858285,0.757104710001028,0,0,0,0,500
2,inner,10,10,0.5,500,50000,340.44694333478975,1532011.2450065538,45000,0.7332638006010831,0.7998399861425801,0.7651063328952411,0,0,0,0,500
3,inner,10,10,0.5,500,50000,341.1049314617585,1534972.1915779132,45000,0.7283830301716001,0.7924165026092446,0.7590516973306808,0,0,0,0,500
4,inner,10,10,0.5,500,50000,340.2016969447061,1530907.6362511774,45000,0.7324988022269038,0.7911635832896549,0.7607018229681425,0,0,0,0,500
5,inner,10,10,0.5,500,50000,344.2794964674549,1549257.7341035472,45000,0.7303360963308791,0.7936438237157195,0.7606750252613929,0,0,0,0,500
6,inner,10,10,0.5,500,50000,342.31918586230347,1540436.3363803655,45000,0.7306237917367725,0.7926886362923095,0.7603918493120594,0,0,0,0,500
0,inner,10,10,0.5,700,70000,469.55646635617194,2958205.7380438833,63000,0.7283439450348428,0.7858205126036735,0.7559913447337056,0,0,0,0,700
1,inner,10,10,0.5,700,70000,489.65571867598356,3084831.0276586963,63000,0.7258534924219888,0.7943132597572362,0.7585418544976958,0,0,0,0,700
2,inner,10,10,0.5,700,70000,476.10790659657226,2999479.8115584054,63000,0.7310969996611756,0.7966573452855518,0.7624704807062597,0,0,0,0,700
3,inner,10,10,0.5,700,70000,469.4615803795062,2957607.956390889,63000,0.733986177642963,0.7991969275784968,0.765204750899743,0,0,0,0,700
4,inner,10,10,0.5,700,70000,478.5100371746036,3014613.2342000026,63000,0.7291100927657226,0.7919621795796723,0.7592375835369385,0,0,0,0,700
5,inner,10,10,0.5,700,70000,476.70872448663687,3003264.964265812,63000,0.7321029096843727,0.7983035421210832,0.7637714089727059,0,0,0,0,700
6,inner,10,10,0.5,700,70000,474.5482050628369,2989653.691895873,63000,0.7301127249555468,0.7965638207033542,0.7618920764695731,0,0,0,0,700
0,inner,10,10,0.5,1000,100000,679.1532251581513,6112379.026423361,90000,0.7273366023896913,0.7893963493479216,0.7570968350305471,0,0,0,0,1000
1,inner,10,10,0.5,1000,100000,691.6248919643124,6224624.027678812,90000,0.7231326824216413,0.7907888580109481,0.7554490148270216,0,0,0,0,1000
2,inner,10,10,0.5,1000,100000,683.8702124517694,6154831.912065924,90000,0.7224729322897162,0.7883399961783603,0.7539706577143952,0,0,0,0,1000
3,inner,10,10,0.5,1000,100000,672.6327103917322,6053694.393525589,90000,0.7228958206176328,0.7885140374114319,0.7542805138063331,0,0,0,0,1000
4,inner,10,10,0.5,1000,100000,681.8338215868791,6136504.394281913,90000,0.7221688507524638,0.7871265211360715,0.7532498485758321,0,0,0,0,1000
5,inner,10,10,0.5,1000,100000,676.4418638562255,6087976.774706029,90000,0.7233217480596357,0.7873289723489723,0.7539693469625014,0,0,0,0,1000
6,inner,10,10,0.5,1000,100000,671.2136647837937,6040922.983054143,90000,0.7233917149434278,0.7894778440904382,0.7549913713792133,0,0,0,0,1000
