iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5583042139985788,1.0,0.7165535573647469,0,0,0,0,50
1,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5478101066784391,1.0,0.707851827966191,0,0,0,0,50
2,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5453298550171048,1.0,0.7057779324545163,0,0,0,0,50
0,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5460179933484267,1.0,0.7063539954872575,0,0,0,0,100
1,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5405673890916595,1.0,0.701777011404072,0,0,0,0,100
2,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.540251647404713,1.0,0.7015108840364158,0,0,0,0,100
