iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,heuristic1,10,10,0.5,50,5000,43.26190725733976,19467.85826580289,4500,0.7243062862323382,0.7731922017761215,0.747951302384358,0,0,0,0,50
1,heuristic1,10,10,0.5,50,5000,40.938974594397386,18422.538567478823,4500,0.7685273476997927,0.8282269037193468,0.7972611001891228,0,0,0,0,50
2,heuristic1,10,10,0.5,50,5000,43.48385968423791,19567.73685790706,4500,0.730991239148031,0.7921754599251473,0.7603544922899133,0,0,0,0,50
0,heuristic1,10,10,0.5,100,10000,74.22590460943881,66803.31414849493,9000,0.7471322673675516,0.8012513602073846,0.7732460287256635,0,0,0,0,100
1,heuristic1,10,10,0.5,100,10000,74.69245543288723,67223.20988959851,9000,0.7415880672047921,0.8029263034114332,0.7710392040149245,0,0,0,0,100
2,heuristic1,10,10,0.5,100,10000,68.95017962255885,62055.16166030296,9000,0.7492641044171904,0.8076117513154902,0.7773445690458433,0,0,0,0,100
0,heuristic1,10,10,0.5,200,20000,136.92479942942722,246464.638972969,18000,0.7469713999018387,0.8074678988804448,0.7760424318595419,0,0,0,0,200
1,heuristic1,10,10,0.5,200,20000,144.78389721347165,260611.01498424896,18000,0.7318690942650745,0.7950520882052244,0.7621533558751741,0,0,0,0,200
2,heuristic1,10,10,0.5,200,20000,144.2738234122216,259692.88214199885,18000,0.7305110534524403,0.7959772946538334,0.7618403543835154,0,0,0,0,200
0,heuristic1,10,10,0.5,300,30000,212.75336115752762,574434.0751253245,27000,0.7289719248014526,0.7956233424452749,0.7608407186081565,0,0,0,0,300
1,heuristic1,10,10,0.5,300,30000,211.4536357008749,570924.8163923622,27000,0.7370536712044302,0.8007576617113767,0.7675861943225231,0,0,0,0,300
2,heuristic1,10,10,0.5,300,30000,204.5521749434801,552290.8723473963,27000,0.7338910102668899,0.7954698712809932,0.7634407215652363,0,0,0,0,300
0,heuristic1,10,10,0.5,400,40000,277.9905210220237,1000765.8756792854,36000,0.7255744102118575,0.7874383317910634,0.7552416279206812,0,0,0,0,400
1,heuristic1,10,10,0.5,400,40000,284.9177889735737,1025704.0403048653,36000,0.7154592535942629,0.785050327859847,0.7486410330818872,0,0,0,0,400
2,heuristic1,10,10,0.5,400,40000,280.61837004474495,1010226.1321610818,36000,0.723684729110015,0.7928919354920222,0.7567092372486566,0,0,0,0,400
0,heuristic1,10,10,0.5,500,50000,354.07866141048015,1593353.9763471608,45000,0.7264652839716799,0.7930024073200587,0.7582770233623649,0,0,0,0,500
1,heuristic1,10,10,0.5,500,50000,333.93170509817764,1502692.6729417993,45000,0.7305656630590706,0.7951377449641569,0.7614852674749871,0,0,0,0,500
2,heuristic1,10,10,0.5,500,50000,341.76279992350305,1537932.5996557637,45000,0.7310107312554349,0.7943407177271784,0.7613610480640522,0,0,0,0,500
