iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.563247172015484,1.0,0.7206117907628046,0,0,0,0,50
1,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5477161826045607,1.0,0.7077734131885102,0,0,0,0,50
2,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5482387300183804,1.0,0.7082095537189821,0,0,0,0,50
0,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5448910679653036,1.0,0.7054103415627246,0,0,0,0,100
1,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5420591862218611,1.0,0.7030329199619622,0,0,0,0,100
2,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5422671496491936,1.0,0.7032078064718404,0,0,0,0,100
