iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5717157355609175,1.0,0.7275052639934056,0,0,0,0,50
1,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5451594738962634,1.0,0.7056352216144952,0,0,0,0,50
2,budget,10,10,0.5,50,5000,-inf,-inf,4500,0.5488322963609185,1.0,0.7087046126949127,0,0,0,0,50
0,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5474302706517116,1.0,0.707534654109044,0,0,0,0,100
1,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5423278897848033,1.0,0.7032588768922188,0,0,0,0,100
2,budget,10,10,0.5,100,10000,-inf,-inf,9000,0.5424450980699231,1.0,0.7033574144696496,0,0,0,0,100
