iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,baseline,10,10,0.5,50,5000,72.18616124520365,32483.77256034164,4500,0.37435957274683845,0.60964241966438,0.46387197894723314,0,0,0,0,50
1,baseline,10,10,0.5,50,5000,71.15459373641816,32019.56718138817,4500,0.4169902925360043,0.6480995659465941,0.5074712249754149,0,0,0,0,50
2,baseline,10,10,0.5,50,5000,72.20959103673839,32494.315966532275,4500,0.3974811246995136,0.6422881469191168,0.4910655122961082,0,0,0,0,50
3,baseline,10,10,0.5,50,5000,75.23666464613906,33856.499090762576,4500,0.45758225516643064,0.6975392142390998,0.5526372336976999,0,0,0,0,50
4,baseline,10,10,0.5,50,5000,72.01729628498246,32407.78332824211,4500,0.46055262245714934,0.6751903424964092,0.547589890476984,0,0,0,0,50
0,baseline,10,10,0.5,100,10000,141.77024308065685,127593.21877259118,9000,0.4546347302996747,0.6884810372188273,0.5476390048435853,0,0,0,0,100
1,baseline,10,10,0.5,100,10000,139.62487250178472,125662.38525160626,9000,0.3816063156605701,0.6212576976794459,0.47279762347368687,0,0,0,0,100
2,baseline,10,10,0.5,100,10000,138.59322134186888,124733.899207682,9000,0.4049853656682185,0.6314617257303768,0.49347961902292925,0,0,0,0,100
3,baseline,10,10,0.5,100,10000,140.46712748087785,126420.41473279006,9000,0.4256737373294538,0.6593217261839815,0.5173403073565328,0,0,0,0,100
4,baseline,10,10,0.5,100,10000,136.09494880171988,122485.4539215479,9000,0.3982496138344453,0.6297282023485657,0.48792689775579307,0,0,0,0,100
0,baseline,10,10,0.5,200,20000,278.3590467446238,501046.2841403228,18000,0.4520744532674192,0.6859766980136297,0.5449887561901282,0,0,0,0,200
1,baseline,10,10,0.5,200,20000,267.2520136725129,481053.62461052317,18000,0.40987327773441895,0.6455820772000479,0.5014079293671454,0,0,0,0,200
2,baseline,10,10,0.5,200,20000,261.2955594011112,470332.0069220001,18000,0.3961760320954977,0.6315549670626993,0.4869113437388668,0,0,0,0,200
3,baseline,10,10,0.5,200,20000,265.30754669538226,477553.5840516881,18000,0.41368603694349076,0.6483039652349675,0.5050787626298888,0,0,0,0,200
4,baseline,10,10,0.5,200,20000,267.7823585278767,482008.245350178,18000,0.4328994127738949,0.6660374994135926,0.5247384798597913,0,0,0,0,200
0,baseline,10,10,0.5,300,30000,384.38734736423004,1037845.8378834211,27000,0.37180481611329164,0.6090573036721203,0.4617375556185442,0,0,0,0,300
1,baseline,10,10,0.5,300,30000,394.0245300700803,1063866.2311892167,27000,0.4114173232163916,0.6447933660555719,0.5023224312814422,0,0,0,0,300
2,baseline,10,10,0.5,300,30000,396.09849491413337,1069465.9362681601,27000,0.4026886235477471,0.6368475039249675,0.4933955405452609,0,0,0,0,300
3,baseline,10,10,0.5,300,30000,388.6351145611553,1049314.8093151194,27000,0.4007321318937282,0.6331244102537039,0.4908094775856157,0,0,0,0,300
4,baseline,10,10,0.5,300,30000,398.63214246624216,1076306.784658854,27000,0.41881812222299186,0.6526040702558403,0.5102048719511333,0,0,0,0,300
0,baseline,10,10,0.5,400,40000,531.9657300815802,1915076.6282936889,36000,0.4229194476722759,0.6606816262366366,0.5157158204859937,0,0,0,0,400
1,baseline,10,10,0.5,400,40000,528.4415171214847,1902389.4616373451,36000,0.41007642517012094,0.6496748650029744,0.5027903219061622,0,0,0,0,400
2,baseline,10,10,0.5,400,40000,532.325670268039,1916372.41296494,36000,0.4032927354345409,0.6451828258687408,0.4963349768049137,0,0,0,0,400
3,baseline,10,10,0.5,400,40000,531.8544995762844,1914676.198474624,36000,0.41448308719849114,0.6510892819131225,0.5065174425162532,0,0,0,0,400
4,baseline,10,10,0.5,400,40000,531.3695488402128,1912930.375824766,36000,0.40293781456711963,0.6418838105893575,0.49508787647107844,0,0,0,0,400
0,baseline,10,10,0.5,500,50000,659.0966652780098,2965934.9937510444,45000,0.4204072655318126,0.6555605388733626,0.5122874725618255,0,0,0,0,500
1,baseline,10,10,0.5,500,50000,658.9438662160255,2965247.397972115,45000,0.4196882319313605,0.6545649033027389,0.5114496349905153,0,0,0,0,500
2,baseline,10,10,0.5,500,50000,656.8722634479687,2955925.185515859,45000,0.4234579831909353,0.6550895988358663,0.514400894230555,0,0,0,0,500
3,baseline,10,10,0.5,500,50000,655.5981959669236,2950191.8818511562,45000,0.39803037265599195,0.6370073599312911,0.48993049987514353,0,0,0,0,500
4,baseline,10,10,0.5,500,50000,645.828064872459,2906226.2919260655,45000,0.3909601538545712,0.629018407704936,0.48220843598452784,0,0,0,0,500
