iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,heuristic1,10,10,0.5,50,5000,38.32687635918521,17247.094361633346,4500,0.7271323516422408,0.7413606857865715,0.7341775890404606,0,0,0,0,50
1,heuristic1,10,10,0.5,50,5000,41.31247324471602,18590.61296012221,4500,0.7410653193319439,0.7838122718925018,0.7618396321240417,0,0,0,0,50
2,heuristic1,10,10,0.5,50,5000,41.265120635947255,18569.304286176266,4500,0.7199485224907828,0.7755628272953002,0.7467215968503265,0,0,0,0,50
3,heuristic1,10,10,0.5,50,5000,42.13701286370478,18961.65578866715,4500,0.7259516982265649,0.7696875799282803,0.7471801709328757,0,0,0,0,50
4,heuristic1,10,10,0.5,50,5000,41.61876991789342,18728.446463052038,4500,0.7248509265466562,0.7872964431890678,0.754784312341486,0,0,0,0,50
0,heuristic1,10,10,0.5,100,10000,70.1720496757776,63154.844708199846,9000,0.7591365522430458,0.8146717582357518,0.7859243157366725,0,0,0,0,100
1,heuristic1,10,10,0.5,100,10000,77.64148416393802,69877.33574754422,9000,0.7356535527311964,0.8063703227920375,0.7693904124249418,0,0,0,0,100
2,heuristic1,10,10,0.5,100,10000,79.08889870546433,71180.0088349179,9000,0.7347494673543613,0.7995145149204987,0.765765045346255,0,0,0,0,100
3,heuristic1,10,10,0.5,100,10000,73.10120919091446,65791.08827182301,9000,0.7409788483539327,0.8055872393428273,0.7719335237019792,0,0,0,0,100
4,heuristic1,10,10,0.5,100,10000,74.7810612064779,67302.95508583011,9000,0.7424448497529439,0.8072875371546292,0.7735096450119413,0,0,0,0,100
0,heuristic1,10,10,0.5,200,20000,141.7523866972828,255154.29605510904,18000,0.7362808272206953,0.8061053005736817,0.7696125721541793,0,0,0,0,200
1,heuristic1,10,10,0.5,200,20000,152.84660745588127,275123.8934205863,18000,0.7121668086723392,0.7767896452704031,0.7430758652706908,0,0,0,0,200
2,heuristic1,10,10,0.5,200,20000,141.64690797103452,254964.43434786212,18000,0.7222157890655394,0.7846530123693981,0.7521408551711731,0,0,0,0,200
3,heuristic1,10,10,0.5,200,20000,150.07142185247974,270128.55933446356,18000,0.7208979371544103,0.7828040776415811,0.7505766956685745,0,0,0,0,200
4,heuristic1,10,10,0.5,200,20000,145.00479009411086,261008.62216939955,18000,0.7326625995966032,0.7938094707727249,0.7620113354580176,0,0,0,0,200
0,heuristic1,10,10,0.5,300,30000,217.86648582659885,588239.5117318169,27000,0.7191868527361706,0.7851265063374439,0.7507114893140289,0,0,0,0,300
1,heuristic1,10,10,0.5,300,30000,212.63507115599435,574114.6921211848,27000,0.7267981561875311,0.7917178960553627,0.7578702987351339,0,0,0,0,300
2,heuristic1,10,10,0.5,300,30000,215.49658637969057,581840.7832251645,27000,0.7351450491893023,0.8015868402764331,0.7669296136353201,0,0,0,0,300
3,heuristic1,10,10,0.5,300,30000,208.41512122506876,562720.8273076856,27000,0.7347425608335514,0.7956361082954367,0.763977861810302,0,0,0,0,300
4,heuristic1,10,10,0.5,300,30000,207.27539431253948,559643.5646438566,27000,0.7358740903873157,0.7937739570576885,0.7637282178715918,0,0,0,0,300
0,heuristic1,10,10,0.5,400,40000,279.37271733998045,1005741.7824239295,36000,0.7331065336490837,0.8041376350882236,0.7669810251686042,0,0,0,0,400
1,heuristic1,10,10,0.5,400,40000,270.19654775210927,972707.5719075933,36000,0.7294927436514195,0.7969853535412463,0.7617469694115356,0,0,0,0,400
2,heuristic1,10,10,0.5,400,40000,285.1986282800993,1026715.0618083575,36000,0.7210137309190762,0.7918061347712606,0.754753567617282,0,0,0,0,400
3,heuristic1,10,10,0.5,400,40000,282.43547023399447,1016767.6928423801,36000,0.7230047971083521,0.7923935599894909,0.7561105532242259,0,0,0,0,400
4,heuristic1,10,10,0.5,400,40000,278.08040251887445,1001089.449067948,36000,0.7261629318710604,0.7971538088201966,0.7600041823243898,0,0,0,0,400
0,heuristic1,10,10,0.5,500,50000,343.07937929512343,1543857.2068280554,45000,0.7270476125169398,0.7932405477506852,0.7587030688869422,0,0,0,0,500
1,heuristic1,10,10,0.5,500,50000,354.0411952960009,1593185.378832004,45000,0.7280970607179456,0.7931041687329871,0.7592116058255706,0,0,0,0,500
2,heuristic1,10,10,0.5,500,50000,338.7032418477162,1524164.5883147228,45000,0.7282930938059338,0.7895909506854806,0.7577043034385093,0,0,0,0,500
3,heuristic1,10,10,0.5,500,50000,339.9798939302204,1529909.5226859918,45000,0.7277275476571076,0.7897313301711165,0.7574626932044864,0,0,0,0,500
4,heuristic1,10,10,0.5,500,50000,348.0552988271983,1566248.8447223925,45000,0.7236226236653706,0.7879635980612874,0.7544237675447959,0,0,0,0,500
