iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,heuristic1,10,10,0.5,50,5000,64.06399006047735,28828.79552721481,4500,0.426158375183946,0.6202399554095144,0.505200445936441,0,0,0,0,50
1,heuristic1,10,10,0.5,50,5000,65.50947046409917,29479.261708844624,4500,0.43013270016957245,0.6200542933141732,0.5079202638955352,0,0,0,0,50
2,heuristic1,10,10,0.5,50,5000,65.60996706046862,29524.485177210878,4500,0.3995760259736767,0.5880258833331131,0.4758213677347552,0,0,0,0,50
0,heuristic1,10,10,0.5,100,10000,125.9532242252807,113357.90180275263,9000,0.4467852263018348,0.6357905825257216,0.5247888175184195,0,0,0,0,100
1,heuristic1,10,10,0.5,100,10000,128.00060628623353,115200.54565761019,9000,0.4080132993777776,0.6103960122035638,0.48909547081713306,0,0,0,0,100
2,heuristic1,10,10,0.5,100,10000,126.86719045359507,114180.47140823556,9000,0.37432464879111643,0.566306148120633,0.4507238136354454,0,0,0,0,100
