iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,baseline,10,10,0.5,50,5000,67.76262895580965,30493.183030114338,5000,0.3915759751102825,0.6213770656645389,0.48040989187937466,0,0,0,0,50
1,baseline,10,10,0.5,50,5000,70.92517216223233,31916.327473004545,5000,0.40766704722244457,0.6341669225073681,0.49629588640072847,0,0,0,0,50
2,baseline,10,10,0.5,50,5000,74.3802617575329,33471.11779088981,5000,0.4474395118660505,0.676623236949102,0.5386673852093268,0,0,0,0,50
3,baseline,10,10,0.5,50,5000,72.67103479322398,32701.965656950793,5000,0.3925073148004782,0.629214087536124,0.48344124214023926,0,0,0,0,50
0,baseline,10,10,0.5,100,10000,137.62960567338996,123866.64510605096,10000,0.4105127482586669,0.6410563922666797,0.5005126362812613,0,0,0,0,100
1,baseline,10,10,0.5,100,10000,136.48180220885493,122833.62198796944,10000,0.38739225011014156,0.6212346253902493,0.47720616061685794,0,0,0,0,100
2,baseline,10,10,0.5,100,10000,140.1282355300573,126115.41197705158,10000,0.41581387647035983,0.6451857569355945,0.5057064718743517,0,0,0,0,100
3,baseline,10,10,0.5,100,10000,142.9994226553665,128699.48038982983,10000,0.437234881955894,0.6768047912338124,0.5312605468618848,0,0,0,0,100
0,baseline,10,10,0.5,200,20000,278.67799587831877,501620.3925809738,20000,0.4424881685079008,0.6830709788293575,0.5370678690642565,0,0,0,0,200
1,baseline,10,10,0.5,200,20000,268.7994208190117,483838.95747422107,20000,0.403907041325755,0.641726803688615,0.49577196808073853,0,0,0,0,200
2,baseline,10,10,0.5,200,20000,261.88104945880525,471385.8890258494,20000,0.3922981510302613,0.6299238186453835,0.48349175947160894,0,0,0,0,200
3,baseline,10,10,0.5,200,20000,268.1645304241258,482696.15476342646,20000,0.4203528262914922,0.6563160098084886,0.5124775240317886,0,0,0,0,200
0,baseline,10,10,0.5,300,30000,395.0067774654365,1066518.2991566786,30000,0.4052656584992836,0.6381174197039513,0.4957087798309355,0,0,0,0,300
1,baseline,10,10,0.5,300,30000,396.33480489341724,1070103.9732122265,30000,0.4017186049386717,0.6401098103329124,0.4936398666904529,0,0,0,0,300
2,baseline,10,10,0.5,300,30000,395.78485188523473,1068619.1000901337,30000,0.4172522490552342,0.643813163169324,0.5063448251330108,0,0,0,0,300
3,baseline,10,10,0.5,300,30000,397.7957638045585,1074048.562272308,30000,0.42634426841533707,0.6517770495079643,0.5154919112027961,0,0,0,0,300
0,baseline,10,10,0.5,400,40000,520.8097167615969,1874914.9803417488,40000,0.40054987682360393,0.63190983359782,0.4903075702739378,0,0,0,0,400
1,baseline,10,10,0.5,400,40000,527.3034625801954,1898292.4652887036,40000,0.39984760299445,0.6355513971667461,0.49087106071636893,0,0,0,0,400
2,baseline,10,10,0.5,400,40000,531.5372252906197,1913534.0110462313,40000,0.3995690238292498,0.6430974626811218,0.4928936121282098,0,0,0,0,400
3,baseline,10,10,0.5,400,40000,530.6309465977151,1910271.4077517744,40000,0.40373777516408343,0.6432801393566692,0.49610706496838153,0,0,0,0,400
0,baseline,10,10,0.5,500,50000,656.3434710548862,2953545.619746988,50000,0.4112949962286765,0.6460048307924535,0.5025983125204446,0,0,0,0,500
1,baseline,10,10,0.5,500,50000,659.5802581177606,2968111.161529923,50000,0.41349923744832184,0.6478097570674911,0.5047895418641891,0,0,0,0,500
2,baseline,10,10,0.5,500,50000,655.0838261090996,2947877.2174909483,50000,0.41180697533752847,0.6447168971423409,0.5025895245282166,0,0,0,0,500
3,baseline,10,10,0.5,500,50000,654.6525384489412,2945936.4230202353,50000,0.4073305700583317,0.6422319352724578,0.4984947518142283,0,0,0,0,500
