iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,heuristic1,10,10,0.5,50,5000,38.552058262238944,17348.426218007524,4500,0.7739338756308602,0.8278415654703143,0.7999805899537324,0,0,0,0,50
1,heuristic1,10,10,0.5,50,5000,41.22504869916245,18551.271914623103,4500,0.7343156796134549,0.7908742844372741,0.7615463009249719,0,0,0,0,50
2,heuristic1,10,10,0.5,50,5000,39.9440969417417,17974.843623783763,4500,0.733916481683875,0.7856888902295793,0.7589207522862611,0,0,0,0,50
3,heuristic1,10,10,0.5,50,5000,42.53002721546172,19138.512246957776,4500,0.7263488826925141,0.7837627681390812,0.7539643980897929,0,0,0,0,50
4,heuristic1,10,10,0.5,50,5000,40.55621232897026,18250.295548036618,4500,0.7430819186972396,0.7996515179463635,0.7703295593793699,0,0,0,0,50
0,heuristic1,10,10,0.5,100,10000,74.29229988247509,66863.06989422758,9000,0.7551133948996,0.8122647229811062,0.7826471041420126,0,0,0,0,100
1,heuristic1,10,10,0.5,100,10000,72.43322809313618,65189.90528382256,9000,0.7510658346720814,0.8092428404114033,0.7790697559936035,0,0,0,0,100
2,heuristic1,10,10,0.5,100,10000,72.09429615546539,64884.86653991885,9000,0.7428821041476737,0.796956417374217,0.768969800375959,0,0,0,0,100
3,heuristic1,10,10,0.5,100,10000,73.58819803186624,66229.37822867962,9000,0.7332498054062091,0.7939782866427798,0.7624066466672863,0,0,0,0,100
4,heuristic1,10,10,0.5,100,10000,74.8406993611035,67356.62942499315,9000,0.7370456556820315,0.7979547352560888,0.7662917540913055,0,0,0,0,100
0,heuristic1,10,10,0.5,200,20000,141.90896445830515,255436.1360249493,18000,0.726015509044961,0.7864499596029627,0.7550253273153534,0,0,0,0,200
1,heuristic1,10,10,0.5,200,20000,141.35717981010234,254442.9236581842,18000,0.7204537952791236,0.7777002411542384,0.7479832870362964,0,0,0,0,200
2,heuristic1,10,10,0.5,200,20000,148.85979442928303,267947.62997270946,18000,0.7263279476245931,0.7978999551147468,0.7604335752766446,0,0,0,0,200
3,heuristic1,10,10,0.5,200,20000,140.8286669943345,253491.60058980208,18000,0.7273726356934768,0.7833862431746783,0.7543410459925614,0,0,0,0,200
4,heuristic1,10,10,0.5,200,20000,150.68798077635816,271238.3653974447,18000,0.714973376972082,0.7730173581889911,0.7428632692159778,0,0,0,0,200
0,heuristic1,10,10,0.5,300,30000,216.81990950676794,585413.7556682734,27000,0.7197074100705168,0.7871394751608256,0.7519146352355353,0,0,0,0,300
1,heuristic1,10,10,0.5,300,30000,205.45198629508644,554720.3629967334,27000,0.7319771136714954,0.794430651049773,0.7619262275880341,0,0,0,0,300
2,heuristic1,10,10,0.5,300,30000,203.45798445272194,549336.5580223493,27000,0.7419146730003776,0.805499891472402,0.772400883776352,0,0,0,0,300
3,heuristic1,10,10,0.5,300,30000,212.31186586932444,573242.037847176,27000,0.7326443569776168,0.7960856312519391,0.7630486088431673,0,0,0,0,300
4,heuristic1,10,10,0.5,300,30000,215.60037030118212,582120.9998131917,27000,0.7267627532065376,0.7924432169026234,0.7581831896495431,0,0,0,0,300
0,heuristic1,10,10,0.5,400,40000,276.1199388603272,994031.7798971779,36000,0.731528898638202,0.7972135626024084,0.7629601116158036,0,0,0,0,400
1,heuristic1,10,10,0.5,400,40000,282.9847204260214,1018744.9935336771,36000,0.7262875034470259,0.7948542703427026,0.7590255340541447,0,0,0,0,400
2,heuristic1,10,10,0.5,400,40000,289.39265432705145,1041813.5555773852,36000,0.7177029687620012,0.7861682091676363,0.7503771146710783,0,0,0,0,400
3,heuristic1,10,10,0.5,400,40000,283.0896989076522,1019122.9160675479,36000,0.7190614192422052,0.7854618023884475,0.7507963589605929,0,0,0,0,400
4,heuristic1,10,10,0.5,400,40000,280.2753614070185,1008991.3010652667,36000,0.7175931269930317,0.7854133902668226,0.7499731294995121,0,0,0,0,400
0,heuristic1,10,10,0.5,500,50000,345.69393054296404,1555622.687443338,45000,0.7253932118283892,0.7912801915012044,0.7569055781015842,0,0,0,0,500
1,heuristic1,10,10,0.5,500,50000,345.6992706911307,1555646.7181100883,45000,0.732273562865811,0.798008772788384,0.7637292983560573,0,0,0,0,500
2,heuristic1,10,10,0.5,500,50000,342.03120131294594,1539140.4059082568,45000,0.7326193118102537,0.7991097595309993,0.7644214019856878,0,0,0,0,500
3,heuristic1,10,10,0.5,500,50000,338.1978160292196,1521890.1721314883,45000,0.7320879371780559,0.7959952121733582,0.7627052142168346,0,0,0,0,500
4,heuristic1,10,10,0.5,500,50000,332.4799743247126,1496159.8844612066,45000,0.7361980882083063,0.8012013924220482,0.7673255270375158,0,0,0,0,500
