iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,inner,10,10,0.5,50,5000,39.886934611476036,17949.120575164216,4500,0.7655775474093219,0.8057841969530746,0.7851664856392915,0,0,0,0,50
1,inner,10,10,0.5,50,5000,40.94938111857386,18427.221503358236,4500,0.7258398767767282,0.7719647876929326,0.7481921236684212,0,0,0,0,50
2,inner,10,10,0.5,50,5000,41.169626853979,18526.33208429055,4500,0.7287756318076003,0.7781343800209888,0.7526466344766941,0,0,0,0,50
0,inner,10,10,0.5,100,10000,76.89693026855566,69207.2372417001,9000,0.7393601966175289,0.7980579593786221,0.7675885541706055,0,0,0,0,100
1,inner,10,10,0.5,100,10000,75.80728921796339,68226.56029616705,9000,0.7253787017938713,0.7901156123263599,0.7563644835831372,0,0,0,0,100
2,inner,10,10,0.5,100,10000,74.04431942290694,66639.88748061625,9000,0.7396750475643763,0.794757552215189,0.7662276340079958,0,0,0,0,100
0,inner,10,10,0.5,200,20000,146.93633154075906,264485.3967733663,18000,0.7372333916375156,0.8033347611425117,0.7688659661160373,0,0,0,0,200
1,inner,10,10,0.5,200,20000,151.89936270738332,273418.85287328996,18000,0.7123118042862114,0.7640659456000187,0.737281759151328,0,0,0,0,200
2,inner,10,10,0.5,200,20000,145.43762370396783,261787.7226671421,18000,0.7327689077778503,0.7962844400497423,0.7632074842185794,0,0,0,0,200
0,inner,10,10,0.5,300,30000,217.2425231761841,586554.8125756971,27000,0.7280502338484407,0.7945006790692626,0.7598253697548268,0,0,0,0,300
1,inner,10,10,0.5,300,30000,209.93444834105037,566823.010520836,27000,0.7279952251965193,0.7890291078689896,0.7572843896431941,0,0,0,0,300
2,inner,10,10,0.5,300,30000,203.11289920313425,548404.8278484625,27000,0.7371394106227865,0.7998217227910538,0.7672023716461145,0,0,0,0,300
0,inner,10,10,0.5,400,40000,286.2460669882778,1030485.8411578,36000,0.7168431701419727,0.784284943333749,0.749049065202355,0,0,0,0,400
1,inner,10,10,0.5,400,40000,281.52441198500094,1013487.8831460035,36000,0.718698531263206,0.7851243904623568,0.75044440157455,0,0,0,0,400
2,inner,10,10,0.5,400,40000,276.08556741830336,993908.042705892,36000,0.7212266426677284,0.7898022130239787,0.7539583328606482,0,0,0,0,400
0,inner,10,10,0.5,500,50000,353.68183734073466,1591568.2680333059,45000,0.7197160396200527,0.7884006071435524,0.7524942633914782,0,0,0,0,500
1,inner,10,10,0.5,500,50000,342.5757981883287,1541591.091847479,45000,0.7332730033102687,0.7973414326512609,0.763966330445086,0,0,0,0,500
2,inner,10,10,0.5,500,50000,339.8678071277006,1529405.1320746527,45000,0.7304233660923233,0.7926891616156259,0.7602835314649948,0,0,0,0,500
